2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
101194,189184,250136,637069,650750,674027,698204,512554,493613,367785,372702,188434,86558,247460,1122000,276214,1197977,1421235,1420436
15459,82680,182972,321457,473985,372290,681525,830597,322336,172708,493096,252821,195354,266537,697051,163385,944798,1018133,1014718
43990,40892,263966,338722,119448,563244,214849,2535638,602126,519185,240878,402001,220828,87322,275914,208127,745903,715155,729687
138725,106620,500525,388225,257779,462321,411288,577809,196159,441776,524825,173289,337568,167831,259482,111160,327636,441416,477150
190849,140927,354892,167037,372569,129842,640644,482817,380747,247184,159097,167771,250290,30242,243323,294372,332596,370820,423434
30655,51339,448141,223575,156108,221626,296375,601000,116442,474030,429281,77334,534859,50727,238903,149002,291387,325037,366093
53244,80207,166538,398857,479908,357995,220840,310006,595877,198418,246383,501770,130400,102283,221766,106731,290726,304804,350934
53846,25027,372939,253199,437188,150396,670822,195128,838261,135217,368902,111351,61667,61918,163851,144992,222984,262087,345066
47439,153322,245783,206083,80048,558199,460069,304091,377502,833966,484597,129787,157819,143236,148140,144528,262833,254000,337238
33934,279632,234166,630445,300347,471002,101481,721602,454780,451112,342683,13109,53108,118115,145834,100355,170789,236514,331114
64956,63134,190726,127296,91874,406735,352029,89175,443178,359640,416396,69793,118018,161903,132707,165984,125924,226952,327507
43788,285863,170190,521068,462377,210364,460160,427390,67400,58727,333554,307566,70642,65738,131497,30991,269742,216215,320455
96391,168311,320636,78830,226900,84102,163910,451979,56841,410974,258950,57912,49855,145268,131046,107600,279138,214651,274294
107445,167136,40527,380800,244247,26000,447825,449780,468258,292389,48514,102938,103250,73396,129836,193559,163480,193396,260357
49810,152321,45211,49891,55970,59189,70769,35275,756321,196300,299429,64939,83978,77340,120140,33947,176504,191292,249826
231309,87520,43598,36178,33364,60082,31991,53256,161000,69553,174512,59434,305310,26672,117000,83820,172723,189322,248591
28667,270113,57450,285790,393304,55095,389165,204410,142040,347125,277906,53945,37311,27060,115277,198117,168591,173235,221500
34700,23470,61350,344258,257211,66010,163625,184660,50488,182662,36308,603938,92612,229233,112359,146716,124044,152539,219136
69250,56119,80699,511238,71394,48884,37440,101880,248940,212501,388750,68859,42880,90915,111587,74378,117748,150472,183204
31201,15863,33562,81014,141885,356698,56172,56807,236710,65109,73413,80144,13517,85075,107953,27502,27667,149801,182870
