revenue,total_staff,own_staff,own_ratio,certificates,cert_per_capita,full_certified,revenue_per_capita,revenue_per_own_capita,revenue_per_certificate,revenue_per_full_certified
"304,804",73,44,0.60274,129,1.76712,13,4175.39726,6927.36364,2362.82171,23446.46154
"189,322",51,41,0.80392,96,1.88235,13,3712.19608,4617.60976,1972.10417,14563.23077
"216,215",32,18,0.56250,58,1.81250,9,6756.71875,12011.94444,3727.84483,24023.88889
"226,952",71,54,0.76056,115,1.61972,12,3196.50704,4202.81481,1973.49565,18912.66667
"173,235",63,34,0.53968,130,2.06349,16,2749.76190,5095.14706,1332.57692,10827.18750
"441,416",62,39,0.62903,95,1.53226,8,7119.61290,11318.35897,4646.48421,55177.00000
"136,406",60,17,0.28333,116,1.93333,16,2273.43333,8023.88235,1175.91379,8525.37500
"92,347",48,20,0.41667,104,2.16667,18,1923.89583,4617.35000,887.95192,5130.38889
"191,292",40,29,0.72500,85,2.12500,13,4782.30000,6596.27586,2250.49412,14714.76923
"62,600",40,33,0.82500,76,1.90000,6,1565.00000,1896.96970,823.68421,10433.33333
"254,000",17,17,1.00000,32,1.88235,0,14941.17647,14941.17647,7937.50000,0.00000
"119,244",24,20,0.83333,37,1.54167,3,4968.50000,5962.20000,3222.81081,39748.00000
"193,396",22,21,0.95455,42,1.90909,6,8790.72727,9209.33333,4604.66667,32232.66667
"109,235",21,14,0.66667,49,2.33333,11,5201.66667,7802.50000,2229.28571,9930.45455
"214,651",18,17,0.94444,21,1.16667,2,11925.05556,12626.52941,10221.47619,107325.50000
"57,560",10,9,0.90000,25,2.50000,7,5756.00000,6395.55556,2302.40000,8222.85714
"104,945",13,13,1.00000,26,2.00000,4,8072.69231,8072.69231,4036.34615,26236.25000
"89,530",18,17,0.94444,34,1.88889,6,4973.88889,5266.47059,2633.23529,14921.66667
"124,100",20,20,1.00000,45,2.25000,6,6205.00000,6205.00000,2757.77778,20683.33333
"105,146",19,19,1.00000,39,2.05263,8,5534.00000,5534.00000,2696.05128,13143.25000
"32,165",21,5,0.23810,44,2.09524,7,1531.66667,6433.00000,731.02273,4595.00000
"42,664",17,14,0.82353,41,2.41176,8,2509.64706,3047.42857,1040.58537,5333.00000
"236,514",13,13,1.00000,29,2.23077,3,18193.38462,18193.38462,8155.65517,78838.00000
"51,453",15,12,0.80000,29,1.93333,1,3430.20000,4287.75000,1774.24138,51453.00000
"50,017",26,15,0.57692,43,1.65385,4,1923.73077,3334.46667,1163.18605,12504.25000
"37,212",12,10,0.83333,25,2.08333,4,3101.00000,3721.20000,1488.48000,9303.00000
"26,302",13,9,0.69231,20,1.53846,1,2023.23077,2922.44444,1315.10000,26302.00000
"127,438",16,0,0.00000,29,1.81250,4,7964.87500,0.00000,4394.41379,31859.50000
"42,768",12,4,0.33333,25,2.08333,4,3564.00000,10692.00000,1710.72000,10692.00000
"130,031",13,12,0.92308,21,1.61538,0,10002.38462,10835.91667,6191.95238,0.00000
"100,884",14,12,0.85714,34,2.42857,4,7206.00000,8407.00000,2967.17647,25221.00000
"41,115",27,8,0.29630,47,1.74074,4,1522.77778,5139.37500,874.78723,10278.75000
"68,535",24,18,0.75000,53,2.20833,8,2855.62500,3807.50000,1293.11321,8566.87500
"42,387",14,8,0.57143,24,1.71429,1,3027.64286,5298.37500,1766.12500,42387.00000
"43,637",10,3,0.30000,26,2.60000,5,4363.70000,14545.66667,1678.34615,8727.40000
"75,536",19,19,1.00000,39,2.05263,3,3975.57895,3975.57895,1936.82051,25178.66667
"18,258",24,11,0.45833,40,1.66667,3,760.75000,1659.81818,456.45000,6086.00000
"32,637",9,9,1.00000,20,2.22222,4,3626.33333,3626.33333,1631.85000,8159.25000
"68,130",8,8,1.00000,16,2.00000,2,8516.25000,8516.25000,4258.12500,34065.00000
"26,680",8,8,1.00000,18,2.25000,3,3335.00000,3335.00000,1482.22222,8893.33333
"150,472",11,9,0.81818,21,1.90909,2,13679.27273,16719.11111,7165.33333,75236.00000
"45,825",11,8,0.72727,25,2.27273,3,4165.90909,5728.12500,1833.00000,15275.00000
"24,402",6,3,0.50000,10,1.66667,1,4067.00000,8134.00000,2440.20000,24402.00000
"107,845",12,10,0.83333,20,1.66667,2,8987.08333,10784.50000,5392.25000,53922.50000
"111,972",10,10,1.00000,28,2.80000,6,11197.20000,11197.20000,3999.00000,18662.00000
"55,845",7,7,1.00000,19,2.71429,6,7977.85714,7977.85714,2939.21053,9307.50000
"30,549",5,5,1.00000,12,2.40000,1,6109.80000,6109.80000,2545.75000,30549.00000
"35,103",12,10,0.83333,22,1.83333,4,2925.25000,3510.30000,1595.59091,8775.75000
"39,419",17,7,0.41176,33,1.94118,4,2318.76471,5631.28571,1194.51515,9854.75000
"39,197",15,14,0.93333,33,2.20000,6,2613.13333,2799.78571,1187.78788,6532.83333
"20,044",9,7,0.77778,23,2.55556,6,2227.11111,2863.42857,871.47826,3340.66667
"34,133",12,5,0.41667,31,2.58333,3,2844.41667,6826.60000,1101.06452,11377.66667
"152,539",16,5,0.31250,26,1.62500,4,9533.68750,30507.80000,5866.88462,38134.75000
"23,352",6,5,0.83333,17,2.83333,4,3892.00000,4670.40000,1373.64706,5838.00000
"40,995",12,11,0.91667,27,2.25000,5,3416.25000,3726.81818,1518.33333,8199.00000
