year,cpi
1970,5.8952999114990200
1971,4.2927646636962900
1972,3.2722830772399900
1973,6.1777563095092800
1974,11.0547990798950000
1975,9.1431522369384800
1976,5.7448124885559100
1977,6.5016841888427700
1978,7.6309599876403800
1979,11.2544746398926000
1980,13.5492029190063000
1981,10.3347167968750000
1982,6.1314215660095200
1983,3.2124335765838600
1984,4.3005404472351100
1985,3.5456385612487800
1986,1.8980554342269900
1987,3.6645569801330600
1988,4.0777416229248100
1989,4.8270077705383300
1990,5.3979535102844200
1991,4.2349629402160600
1992,3.0288226604461700
1993,2.9516572952270500
1994,2.6074390411377000
1995,2.8054180145263700
1996,2.9312081336975100
1997,2.3376882076263400
1998,1.5522807836532600
1999,2.1880264282226600
2000,3.3768539428710900
2001,2.8261716365814200
2002,1.5860344171524000
2003,2.2700941562652600
2004,2.6772384643554700
2005,3.3927452564239500
2006,3.2259416580200200
2007,2.8526782989502000
2008,3.8391003608703600
2009,-0.3555490672588350
2010,1.6400398015976000
2011,3.1568465232849100
2012,2.0693306922912600
2013,1.4648375511169400
2014,1.6222240924835200
2015,0.1186250522732730
2016,1.2615814208984400
2017,2.1360000000000000
2018,2.4400000000000000
2019,1.8120000362396200
2020,1.2335843963066400
2021,4.6978590000000000
2022,8.0028000000000000
2023,4.1163383837448800
